lesson_id,lesson_name,lesson_type,difficulty_level,is_premium
l_1,Lesson 1: Probably,Vocabulary,1,0
l_2,Lesson 2: Value,Vocabulary,5,0
l_3,Lesson 3: Prepare,Speaking,5,0
l_4,Lesson 4: Win,Vocabulary,6,0
l_5,Lesson 5: Card,Speaking,3,0
l_6,Lesson 6: Join,Speaking,3,0
l_7,Lesson 7: Nation,Speaking,5,0
l_8,Lesson 8: Today,Speaking,3,0
l_9,Lesson 9: Cold,Grammar,8,0
l_10,Lesson 10: Identify,Speaking,4,0
l_11,Lesson 11: Option,Grammar,4,0
l_12,Lesson 12: Meet,Grammar,8,0
l_13,Lesson 13: Candidate,Speaking,6,0
l_14,Lesson 14: Think,Speaking,6,0
l_15,Lesson 15: Level,Grammar,10,0
l_16,Lesson 16: Better,Vocabulary,3,0
l_17,Lesson 17: Expect,Speaking,6,0
l_18,Lesson 18: Material,Speaking,4,0
l_19,Lesson 19: Door,Speaking,6,0
l_20,Lesson 20: Inside,Vocabulary,7,0
l_21,Lesson 21: Campaign,Grammar,8,0
l_22,Lesson 22: Well,Grammar,8,0
l_23,Lesson 23: Value,Vocabulary,1,0
l_24,Lesson 24: Particular,Vocabulary,3,0
l_25,Lesson 25: Single,Vocabulary,1,0
l_26,Lesson 26: Hold,Vocabulary,4,0
l_27,Lesson 27: Fall,Grammar,7,0
l_28,Lesson 28: Factor,Speaking,3,0
l_29,Lesson 29: Involve,Grammar,8,0
l_30,Lesson 30: Unit,Vocabulary,9,0
l_31,Lesson 31: Along,Grammar,1,1
l_32,Lesson 32: She,Grammar,1,1
l_33,Lesson 33: Minute,Vocabulary,8,1
l_34,Lesson 34: Throw,Grammar,4,1
l_35,Lesson 35: Choose,Vocabulary,7,1
l_36,Lesson 36: Theory,Speaking,7,1
l_37,Lesson 37: Anything,Grammar,10,1
l_38,Lesson 38: Star,Speaking,10,1
l_39,Lesson 39: Detail,Speaking,3,1
l_40,Lesson 40: Measure,Speaking,4,1
l_41,Lesson 41: Teacher,Vocabulary,6,1
l_42,Lesson 42: Join,Vocabulary,5,1
l_43,Lesson 43: Improve,Speaking,10,1
l_44,Lesson 44: See,Speaking,8,1
l_45,Lesson 45: Old,Speaking,5,1
l_46,Lesson 46: Pay,Vocabulary,7,1
l_47,Lesson 47: That,Speaking,10,1
l_48,Lesson 48: Party,Vocabulary,5,1
l_49,Lesson 49: Common,Vocabulary,1,1
l_50,Lesson 50: Human,Vocabulary,9,1
l_51,Lesson 51: Bed,Vocabulary,10,1
l_52,Lesson 52: Happy,Grammar,1,1
l_53,Lesson 53: I,Grammar,4,1
l_54,Lesson 54: Another,Speaking,7,1
l_55,Lesson 55: Personal,Speaking,6,1
l_56,Lesson 56: Strong,Vocabulary,6,1
l_57,Lesson 57: Yourself,Grammar,6,1
l_58,Lesson 58: Music,Vocabulary,5,1
l_59,Lesson 59: Shake,Vocabulary,6,1
l_60,Lesson 60: Since,Grammar,1,1
l_61,Lesson 61: Oil,Speaking,8,1
l_62,Lesson 62: Yard,Vocabulary,2,1
l_63,Lesson 63: Recognize,Speaking,3,1
l_64,Lesson 64: Say,Grammar,2,1
l_65,Lesson 65: Themselves,Grammar,3,1
l_66,Lesson 66: Clearly,Grammar,1,1
l_67,Lesson 67: Garden,Grammar,9,1
l_68,Lesson 68: Beyond,Vocabulary,1,1
l_69,Lesson 69: Industry,Vocabulary,1,1
l_70,Lesson 70: Attorney,Speaking,8,1
l_71,Lesson 71: Whole,Vocabulary,6,1
l_72,Lesson 72: Large,Vocabulary,8,1
l_73,Lesson 73: Process,Vocabulary,7,1
l_74,Lesson 74: Reduce,Grammar,5,1
l_75,Lesson 75: Deep,Vocabulary,4,1
l_76,Lesson 76: Answer,Grammar,3,1
l_77,Lesson 77: Cell,Speaking,1,1
l_78,Lesson 78: Represent,Grammar,6,1
l_79,Lesson 79: Hit,Vocabulary,4,1
l_80,Lesson 80: Race,Vocabulary,1,1
l_81,Lesson 81: Management,Vocabulary,2,1
l_82,Lesson 82: Forward,Vocabulary,10,1
l_83,Lesson 83: Probably,Vocabulary,7,1
l_84,Lesson 84: Girl,Vocabulary,5,1
l_85,Lesson 85: Rather,Vocabulary,8,1
l_86,Lesson 86: Ready,Speaking,1,1
l_87,Lesson 87: Face,Vocabulary,5,1
l_88,Lesson 88: Occur,Speaking,9,1
l_89,Lesson 89: Medical,Speaking,7,1
l_90,Lesson 90: Close,Grammar,6,1
l_91,Lesson 91: Scientist,Speaking,10,1
l_92,Lesson 92: Among,Speaking,2,1
l_93,Lesson 93: Say,Grammar,4,1
l_94,Lesson 94: Easy,Vocabulary,4,1
l_95,Lesson 95: Turn,Grammar,9,1
l_96,Lesson 96: Director,Grammar,8,1
l_97,Lesson 97: Trial,Speaking,10,1
l_98,Lesson 98: Us,Vocabulary,8,1
l_99,Lesson 99: Want,Speaking,8,1
l_100,Lesson 100: Catch,Vocabulary,8,1
