transaction_id,user_id,event_time,plan_type,revenue_rub
8a61e3da-3346-4b38-86de-6d61d8630a8d,e0089133-8e26-43dd-91ce-c6887e9550b3,2026-03-22 05:21:49,quarterly,799
a280c278-84c0-4e02-8216-c28d65de352d,4f876de6-1329-4e6b-b06b-883fedcc4a96,2026-04-14 09:47:03,monthly,299
83e15c5e-74f9-4457-89f1-925768583ecf,9f15e1bf-4066-4df3-90e6-69ee5360ec0d,2026-04-16 00:32:27,quarterly,799
9949fb4f-07d3-4086-b8a2-398f07e40d85,c7169b7b-2e5e-43e3-984e-089fb43dae23,2026-04-09 18:19:05,annual,1990
0842459e-2d53-4034-a547-3fdcf9f183f4,83f5653a-773c-4c5c-82a1-c3b6a4a37ddd,2026-03-10 02:25:26,monthly,299
bcbe098a-bdf1-4c18-a57c-0cee257c0041,6faf5b4b-4727-40b2-9b01-4d96bc472cb6,2026-05-29 23:55:25,annual,1990
86d4c127-b843-4472-90a5-d27b7d9a4fd3,359b7780-7851-409e-b52d-38aa567c48a6,2026-05-08 23:20:41,annual,1990
259afdbb-086f-400e-aff1-46897910a203,55f5dde2-f433-4cc5-aaf7-109d55652e2a,2026-05-03 04:53:01,annual,1990
c121a426-4a29-419b-8e1c-a07506829e16,68efd610-6418-4803-bfef-d1f0afcb6a18,2026-05-12 16:47:25,quarterly,799
17b5bcb4-8d3d-49d3-979e-522c52cc5adb,c6985b1b-f3fc-444b-ab87-8dd804b2492e,2026-04-11 20:40:36,quarterly,799
2ca883a2-556e-4406-b2e8-981ce0eca149,36c86c2a-93c9-48d2-80e5-51175deb8174,2026-04-03 19:23:30,monthly,299
0c9d2c9f-827f-49e9-b2de-e948002576b5,157aa301-d2b0-43c8-bddd-86312af689ae,2026-05-19 03:59:32,monthly,299
d174be79-1108-4330-9a4f-2f2bd5fbe723,46fef0e6-0a23-47dc-86a9-cbfdcfb91ac4,2026-04-15 08:39:12,quarterly,799
ffcf9337-d6b5-460c-8a01-5ffc15201ba1,537fdda5-387e-41ff-8a3b-7e01904c0418,2026-06-08 04:20:36,monthly,299
62107c37-5f93-4781-8e29-3cc748c00ce7,85a61ba1-a833-47c2-a3bf-2460c61a5920,2026-03-09 00:05:53,annual,1990
17b6782e-59d5-442d-ab37-627e8ca834f5,1f949bf7-aa48-4eb5-b2ec-6136154ab559,2026-04-10 06:29:10,quarterly,799
0ca93b3d-f764-42dc-8dc4-f40efe179bbf,3cf1c5d8-fa58-44a4-8731-882977a836f2,2026-05-26 06:50:26,annual,1990
90a5eb23-db4c-4893-9e2e-d59fb1201714,fd733136-9596-4bde-b273-198543eb8fea,2026-03-19 23:02:59,annual,1990
6ea69189-0bc6-4017-ad76-5a29938c99a1,653a0956-e4e4-4971-838c-4a1811b88a16,2026-06-02 19:15:43,monthly,299
a56de1a2-a6e1-4c63-afa8-99af78f0bdf2,2c6240ad-cb37-4ff7-acb9-db13d06cbd25,2026-06-05 18:50:29,quarterly,799
6a5ae734-172b-444e-9c80-33d113d86b00,3455c4c1-433b-4dde-930b-e91560913f29,2026-05-02 01:45:26,quarterly,799
695d4654-c1aa-4c3d-bf91-fe28616c8793,3d1d973e-f533-48aa-a218-fc864cf6fe7f,2026-05-12 00:07:45,annual,1990
d44b8303-4bff-411f-bfc6-994636ec29aa,d3e482ef-bcfe-4ff2-98c1-e6b696b19091,2026-03-21 03:15:13,annual,1990
db529346-e8ac-4e85-a453-d36e367881ee,f90fc172-3ff8-497e-8384-9c9ad6f7062b,2026-05-07 03:25:36,monthly,299
698ea235-b32a-46c9-a4df-027556c9ae9e,4aaa342e-2206-414a-8c64-0eaab01670ac,2026-03-17 08:09:07,monthly,299
65d4e142-f2f4-4db3-b5a5-82da65569291,4feca782-0191-4880-bae3-64152a16c3d1,2026-06-02 17:37:48,quarterly,799
fdf0c02a-c9cc-4f12-afe7-43a870ac2b76,be1dcd00-4a96-4c50-9ae5-31df9660c19f,2026-03-19 21:38:41,annual,1990
49f5d047-6d06-4a49-a93d-e89108ed92d3,c43884e1-cc3b-48b2-8ae9-a6fa121e6823,2026-04-30 03:48:55,annual,1990
8a3865b2-5b45-41bc-b125-f0db068dcfb0,facb1123-32dc-4c1b-aa72-b35709b3c1de,2026-05-03 19:31:47,annual,1990
555a2d8b-67d2-4f1f-9e68-74341b2b47be,bb40108b-8d94-449b-925b-adaf8a71c7cf,2026-04-22 17:09:28,monthly,299
fe67b06e-15c1-4111-b03b-f2ba1deab073,279325d1-db54-48b1-89c9-d5344070565a,2026-06-02 17:07:14,monthly,299
2b979026-1779-4796-a461-cfd59f51d14d,fa2b2177-3773-40ec-a00b-eed7be8a2064,2026-03-16 14:04:31,monthly,299
b92ae689-2628-44ee-9643-3cf6539c1237,7d3f342d-9f1e-4d0a-ad8b-16721479b41f,2026-06-01 18:48:22,quarterly,799
d71b564b-6e21-49f1-88c2-e0830d18bd9b,72bbfc67-63e1-42f6-85a9-4c98ef5c3ba3,2026-05-22 20:17:02,monthly,299
ff31e2f1-4b94-44fc-ab5e-e4ab1d037f13,24e8d729-2d25-43e6-bfd1-2ad700700824,2026-03-07 14:50:35,annual,1990
7daaee0a-9057-4d41-be47-51b52b6c0411,9f633f41-14d3-4db1-b75b-2e337d7400e1,2026-05-13 16:41:43,monthly,299
dd8992c1-6cb0-4e2f-8ed1-f94552070a4f,be5ce1a7-9f27-489e-9544-75c471cdc1be,2026-05-04 05:33:57,monthly,299
2ed24eb0-6dea-4361-885f-beb85a3b2a9f,cb18942a-efa3-47dd-a9e2-0c10c2e26019,2026-05-22 21:21:10,quarterly,799
957d44c5-fb8d-47d6-a451-479b8f0f39a8,b5ce7e58-d209-49cd-8022-38ef01f04012,2026-05-22 07:42:26,monthly,299
0ea5dc6c-968a-4ac7-ab12-0ad449fc9ac2,0d3076f4-99db-4d44-89bf-41dd6e70bdee,2026-05-13 08:13:07,quarterly,799
db3955d8-2c5c-44a2-a9ef-31c81de3fa20,39b72bd3-f193-40ba-82b5-42d8fa601f49,2026-04-11 21:29:53,monthly,299
20b9aa34-3add-4029-9a25-dc3e75efd67b,e95a3d4f-9c36-4c9e-bd1c-2cd162d72b23,2026-04-25 01:54:49,quarterly,799
c2b9c36d-490a-4315-b1a2-46a96a38cc0c,fdadcd7c-215b-48a1-8dcb-e8429339f4b8,2026-04-10 09:00:13,quarterly,799
cc1285d5-a34a-42f2-951c-f030b495d216,a04322bd-198d-4aa9-8383-bda5d0998fc1,2026-05-08 20:25:24,monthly,299
cc6e9efe-921d-46e5-96c8-2bd340835113,f7178dfe-463a-4fd6-9f8b-a34e332df5a7,2026-05-18 08:16:42,quarterly,799
af2e76d6-2209-4504-90bd-f92e181efbae,a3d7de9f-2f46-419e-8eda-41b5ada582ff,2026-06-01 06:02:18,quarterly,799
3f53597e-6031-426b-b4c3-99b40827bf38,74626ac7-5191-41fe-a276-41ba0db20c9d,2026-03-26 10:39:44,quarterly,799
4cd9721b-6e48-4f7c-9dc6-76b8a16197cd,6bf13d00-bd9b-4ddb-907e-aaa255d5e96a,2026-06-04 20:40:08,quarterly,799
4d780e37-c5b6-4d1a-be34-8507bf17871b,40b48a06-db83-4c47-a9e0-9174b79adb64,2026-03-16 17:52:58,annual,1990
2b4660e5-ff67-4043-99a5-07fb5bed20a6,8d74e8d0-977e-4494-893d-fea09b2694d7,2026-04-21 21:09:39,quarterly,799
aa8a20c8-4c56-4187-9a7c-f86edcfcc15c,377bf9cf-5a6a-4033-bcf8-f20d80589a31,2026-03-22 02:47:08,monthly,299
a8cb8f72-9892-42df-8c72-139c3a19aa3e,ee44b856-1527-4f9b-9bfd-2399ff35d468,2026-04-11 20:04:28,annual,1990
871139f5-79bb-4f78-abe5-28916106dcc3,ac5eb003-6060-4fc2-b287-f848b3d9162e,2026-05-04 04:39:53,monthly,299
38e2eee1-b30d-4b6b-8fff-21b81a123839,b39d9958-8c73-4b30-9614-d63dee1f2f6d,2026-05-21 17:24:15,monthly,299
95b08a8a-a921-42f2-8454-e7796655ffdd,e6fabece-3956-40fb-a626-b7f8e19603dc,2026-03-21 02:40:27,quarterly,799
588fab4d-5934-4ef8-aa0f-7e7ebdaa365d,54754307-e32d-4e9b-b26f-562cd5077560,2026-05-15 17:01:19,monthly,299
3def7a61-dec9-4c16-b4a8-f141651e53c5,e7d1cbed-dc1e-46f2-9629-1807bf89e19e,2026-05-26 09:58:13,annual,1990
aea17ac2-0df2-4501-9a54-aab123c5ccef,92115b41-f9d9-45d6-bd2d-1ed1e04cae5a,2026-04-07 01:13:49,monthly,299
bb2dfced-9a5b-49a0-b63b-accdfeda462f,ce392717-c1da-4328-bb4a-04796f789c69,2026-04-16 03:46:02,quarterly,799
b23ee982-a912-4636-a11f-0b533d049ff3,f7741a9a-832b-49f5-b59e-f0f407012659,2026-03-29 20:16:42,annual,1990
975552ed-2c0f-4ff4-b06b-d76cd46bf1fb,6f58c1f8-87ee-4c0f-a1b8-d47cd67436b4,2026-05-07 03:21:34,annual,1990
26e0f141-4088-492b-9892-df374eeb576e,fcfc3e2b-6547-4b3b-9939-17e60f31a67e,2026-05-16 21:54:24,monthly,299
5f0690cb-94c8-4910-9ba4-28f8cf80fef1,fb9ee838-8364-4b90-8837-245c3dbfbe3d,2026-05-24 04:28:49,monthly,299
3835d6db-3537-4fdf-84ea-ec41a14c6632,c4ff1b4f-019b-4044-a885-92c9c48decb3,2026-03-05 21:58:53,annual,1990
5d15469c-dfe4-4897-b47d-f6776598b0e7,2533e309-2a2d-4f6d-bd8a-07ebb2d3dd2d,2026-05-03 11:55:54,quarterly,799
8fce3dd6-f0f8-49c2-a711-ac99a346e5a7,6b15f66f-5887-4f23-ba48-84bd8d9035b5,2026-04-07 22:41:25,annual,1990
a457cc81-32c9-4cee-8d29-ec966b37fa40,e0ccec5c-e3a1-4a9d-a206-40e5ad04eebe,2026-04-01 00:36:14,monthly,299
53545ccd-3106-49db-a7b4-cbedeb667c46,771d2a5d-d015-4e6a-9126-6631e7a17b79,2026-04-02 19:09:09,quarterly,799
999308f0-401b-430a-ae71-60e0fcf3bf19,1141ee49-ede0-49dd-b6e7-4d37ea0a760a,2026-04-06 13:28:03,annual,1990
fafee3c8-cd7c-40c2-8479-57a3d6f27977,2883de28-8f57-4adb-a19f-3d2dbd3e0ca7,2026-03-29 11:04:43,quarterly,799
54dd2772-d1f2-4b5f-8e2e-670c760b383c,0ac16817-d1bf-4816-aa05-3685cb244d1d,2026-04-27 21:00:28,annual,1990
64ca89c4-9f7b-4b7b-b43f-79f1f855c268,fe22a413-be80-4f6a-b4bd-ded162b9753a,2026-04-23 12:49:24,monthly,299
cd3a1169-283e-4b8d-bb88-9371daf3cee6,d58c2740-0c64-416d-a03c-7a5ac560bea0,2026-03-20 15:00:08,quarterly,799
90d7ae4c-f469-4edd-b6e7-ac28133bb0be,fd032d3a-d84d-4e88-9428-c05025c9a37f,2026-04-25 19:13:34,quarterly,799
1aefd63e-26f2-4dc3-b13a-1be5b225dbaf,1d3ffb5e-394b-4ca3-85bf-f3192ad5ba2a,2026-03-31 00:17:33,quarterly,799
e18e8721-8ad6-47a5-bbb9-563cf6e2c087,79274043-c0ad-4560-932f-bc43ba588a12,2026-03-18 11:32:38,monthly,299
28895898-8023-40aa-8e5c-dea873b56fa7,f85c827c-b015-42b4-95be-d830440f667c,2026-04-26 15:22:28,monthly,299
76d6ae22-a6c7-4fa5-9ac3-a43f2fa63508,59c7e4bf-9888-4541-8470-1f2af7a58376,2026-04-21 07:03:12,quarterly,799
d415fd56-50f4-441e-8772-fb677d47f715,4ac31af6-a76a-4490-8f90-290a29a69600,2026-05-15 20:38:36,annual,1990
