user_id,platform,install_at,app_version,is_premium,goal,onboarding_level,plan_on_study_time,name,country,age
a4cce2e0-2d29-4bbd-b377-c16cdebd07d8,Android,2026-03-12 08:31:47,1.2.0,False,Хобби,Elementary,60,Pedro,BR,49
6134dc16-ebe8-4a1e-b2c2-abad07543e4f,iOS,2026-03-21 16:09:47,1.1.0,False,Хобби,Advanced,15,Christopher,FR,24
89e81c9e-76b6-4859-8639-4674b3cf22c9,iOS,2026-05-04 21:45:47,1.2.0,False,Хобби,Advanced,15,Greg,RU,19
81b832a1-97ae-4adf-b0c1-5eaf47716726,iOS,2026-03-24 11:33:47,1.0.0,True,Для работы,Beginner,15,Gilbert,ES,51
732622b3-13ff-4a68-b7a9-4ee5fab64222,Android,2026-05-19 23:54:47,1.0.0,True,Для путешествий,Advanced,60,Anthony,US,20
11aa3d03-ea95-4f3e-99fd-8f54fad70077,iOS,2026-04-27 04:25:47,1.2.0,True,Для учебы,Intermediate,30,Wayne,BR,29
d02293e6-2aa8-4f96-9317-1fd419d4f2d2,iOS,2026-02-27 23:24:47,1.0.0,False,Для учебы,Beginner,30,Mary,BR,17
5c5327b9-0d88-4fe8-97f6-d1c6f2dc3154,Android,2026-03-30 23:33:47,1.0.0,False,Хобби,Beginner,60,Danny,BR,33
729e59b5-6bac-4e8e-9fd1-40a39b48922f,Android,2026-05-05 10:03:47,1.2.0,False,Хобби,Intermediate,30,Theresa,FR,29
f13bbce4-3a1a-4a4e-8cac-aa06b46116e9,iOS,2026-04-26 20:18:47,1.0.0,True,Для путешествий,Beginner,30,Richard,IT,33
bd521a59-dd8d-4333-b50c-feff927356fa,iOS,2026-03-22 08:07:47,1.2.0,False,Хобби,Advanced,60,Michelle,DE,54
a976cdea-6aac-44c5-86ca-b41e0b8532f0,Android,2026-05-13 19:48:47,1.2.0,False,Для учебы,Elementary,60,Thomas,FR,47
3a1e1998-7b14-471b-8580-cbf3cd4abea6,iOS,2026-04-29 10:54:47,1.1.0,False,Хобби,Intermediate,60,Micheal,ES,49
b6dfa60a-9ea1-4284-a6e9-e0672f65ee02,iOS,2026-04-24 20:05:47,1.0.0,False,Для путешествий,Advanced,30,Matthew,DE,28
000cb8c0-fa34-4f3b-85d8-671a30ccbdfe,iOS,2026-03-19 10:05:47,1.0.0,False,Хобби,Beginner,30,Andrew,ES,54
c765cb94-dae7-49f7-a2db-a6f873013746,iOS,2026-03-02 17:49:47,1.1.0,False,Для учебы,Advanced,60,Alexander,RU,50
9e46da8b-790e-4973-800d-5809849cdb4a,Android,2026-05-20 22:25:47,1.0.0,False,Для путешествий,Intermediate,15,Sara,DE,20
f7efa0fb-7d4e-459b-b5e6-5437dfc93b84,iOS,2026-03-16 17:10:47,1.0.0,False,Для работы,Advanced,60,Justin,ES,34
ae615640-341c-4587-bb4d-9247d1e5e9c5,iOS,2026-04-28 13:49:47,1.0.0,False,Для путешествий,Elementary,60,Jeffery,US,50
43ddb574-3cdd-443a-a66d-a30ca1838dea,iOS,2026-05-07 11:10:47,1.2.0,False,Хобби,Intermediate,15,Hannah,ES,43
d07abdfe-3290-40ee-bf34-b2bff21f3ce8,iOS,2026-03-11 10:49:47,1.0.0,False,Хобби,Advanced,60,Bryan,FR,49
2e994e45-5cf0-49d1-aaac-7d7ca3fc164e,Android,2026-02-24 10:41:47,1.2.0,False,Хобби,Intermediate,15,Michael,DE,45
d9c49a14-cfca-4dc1-8d6d-ac0afdc2e11f,Android,2026-04-09 22:33:47,1.1.0,False,Для работы,Elementary,60,Alicia,FR,26
7b5770f3-0daa-4a9f-a8f9-3b74b32db011,Android,2026-05-16 11:43:47,1.0.0,False,Для работы,Elementary,30,Erik,RU,55
f36ed6ce-c8b6-43c8-ae8c-f996179c2aac,Android,2026-05-03 18:18:47,1.0.0,False,Для путешествий,Elementary,60,Lindsay,RU,44
b977bf32-7fe5-4e8e-a056-1f81e6aa5c0b,iOS,2026-04-17 06:22:47,1.1.0,False,Хобби,Intermediate,30,Rebecca,IT,24
9afed387-6c30-474a-a849-b53e09351f9e,Android,2026-03-13 01:30:47,1.2.0,False,Для путешествий,Advanced,30,William,RU,51
4dc5ec79-2930-49ea-be9b-97839bfa26a6,Android,2026-03-26 19:48:47,1.0.0,False,Для путешествий,Elementary,15,Jessica,IT,33
